Floor Plan,# of Bedrooms,# of Baths,Sq. Ft.,Full Unit1,Single Students2,pdf_url
Unit A,studio,1 Ba,411,$942,$942,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-A.pdf
Unit B,1 Br,1 Ba,600,"$1,186","$1,186",https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-B.pdf
Unit C,1 Br,1 Ba,570,"$1,186","$1,186",https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-C.pdf
Unit D,1 Br,1 Ba,538,"$1,186","$1,186",https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-D.pdf
Unit E,2 Br,1 Ba,842,"$1,476",$738,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-E.pdf
Unit F,2 Br,1 Ba,866,"$1,476",$738,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-F.pdf
Unit G,3 Br,2 Ba,"1,120","$2,016",$672,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-G.pdf
Unit H,1 Br,1 Ba,665,"$1,241","$1,241",https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-H.pdf
Unit I,2 Br,1 Ba,869,"$1,720",$860,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-I.pdf
Unit J,2 Br,1 Ba,881,"$1,720",$860,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-J.pdf
Unit K Townhome,2 Br-TH,1.5 Ba,"1,040","$1,790",$895,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-K-Townhome.pdf
Unit L Townhome,2 Br-TH*,1.5 Ba,"1,150","$1,862",$931,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-L-Townhome.pdf
Unit M Townhome,2 Br-TH,2 Ba,940,"$1,754",$877,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-M-Townhome.pdf
Unit N,3 Br,2 Ba,"1,270","$2,265",$755,https://sites.uci.edu/ucihousing/files/2021/05/PV_Unit-N.pdf
