Floor Plan,# of Bedrooms,# of Baths,Sq. Ft.,Full Unit1,Shared Unit2,pdf_url
Unit A,1 Br,1 Ba,508,"$1,105",n/a,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-A.pdf
Unit B,1 Br,1 Ba,508,"$1,105",n/a,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-B.pdf
Unit C,1 Br,1 Ba,505,"$1,105",n/a,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-C.pdf
Unit D,3 Br,1 Ba,749,"$1,287",$429,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-D.pdf
Unit E,3 Br,1 Ba,749,"$1,287",$429,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-E-horizontal.pdf
Unit F,2 Br-TH,1 Ba,704,"$1,204",$602,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-F.pdf
Unit G,2 Br,1 Ba,626,"$1,186",$593,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-G.pdf
Unit H,2 Br,1 Ba,627,"$1,186",$593,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-H.pdf
Unit I,2 Br,1 Ba,900,"$1,558",$779,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-I.pdf
Unit J Townhome,2 Br-TH,1 Ba,900,"$1,558",$779,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-J.pdf
Unit K,2 Br,1 Ba,757,"$1,744",$872,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-K.pdf
Unit L,2 Br,1 Ba,843,"$1,744",$872,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-L.pdf
Unit M,2 Br,1 Ba,757,"$1,744",$872,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-M.pdf
Unit N,2 Br,1 Ba,843,"$1,744",$872,https://sites.uci.edu/ucihousing/files/2021/05/VP_Unit-N.pdf
